May 14, 2020 9:00:29 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
May 14, 2020 9:00:29 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
May 14, 2020 9:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/nktoan/share/device-mgmt/package/apache-karaf-4.2.8/lock
May 14, 2020 9:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
May 14, 2020 9:00:29 AM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2020-05-14T09:00:30,696 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.4 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2020-05-14T09:00:33,919 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2020-05-14T09:00:33,928 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.sshd/sshd-core/1.7.0
2020-05-14T09:00:33,951 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.jline/jline-builtins/3.13.2
2020-05-14T09:00:33,959 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.jline/jline-reader/3.13.2
2020-05-14T09:00:33,965 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.jline/jline-terminal/3.13.2
2020-05-14T09:00:33,970 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.jline/jline-terminal-jansi/3.13.2
2020-05-14T09:00:33,974 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2020-05-14T09:00:34,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Starting bundles:
2020-05-14T09:00:34,545 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.url.wrap/2.6.2
2020-05-14T09:00:34,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.util/1.1.3
2020-05-14T09:00:34,571 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.deployer.kar/4.2.8
2020-05-14T09:00:34,584 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.deployer.wrap/4.2.8
2020-05-14T09:00:34,624 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.deployer.features/4.2.8
2020-05-14T09:00:34,653 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.jline.terminal/3.13.2
2020-05-14T09:00:34,656 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.jline.reader/3.13.2
2020-05-14T09:00:34,658 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.jline.builtins/3.13.2
2020-05-14T09:00:34,660 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.shell.core/4.2.8
2020-05-14T09:00:34,783 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.deployer.kar/4.2.8
2020-05-14T09:00:35,362 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.features.command/4.2.8
2020-05-14T09:00:35,460 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.features.command/4.2.8
2020-05-14T09:00:35,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.instance.core/4.2.8
2020-05-14T09:00:35,539 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.instance.core/4.2.8
2020-05-14T09:00:35,544 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2020-05-14T09:00:35,549 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.kar.core/4.2.8
2020-05-14T09:00:35,697 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Command registration delayed for bundle org.apache.karaf.kar.core/4.2.8. Missing service: [org.apache.karaf.kar.KarService]
2020-05-14T09:00:35,698 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.jaas.config/4.2.8
2020-05-14T09:00:35,723 | INFO  | activator-1-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.kar.core/4.2.8
2020-05-14T09:00:35,729 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.jaas.modules/4.2.8
2020-05-14T09:00:36,006 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.jaas.command/4.2.8
2020-05-14T09:00:36,102 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.8
2020-05-14T09:00:36,106 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.8
2020-05-14T09:00:36,109 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.8
2020-05-14T09:00:36,114 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.management.server/4.2.8
2020-05-14T09:00:36,165 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.system.core/4.2.8
2020-05-14T09:00:36,242 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.system.core/4.2.8
2020-05-14T09:00:36,244 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jmx.api/1.1.5
2020-05-14T09:00:36,246 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jmx.core/1.1.8
2020-05-14T09:00:36,261 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2020-05-14T09:00:36,326 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad] for service with service.id [14]
2020-05-14T09:00:36,356 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,357 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,393 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,397 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,398 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,399 | INFO  | features-3-thread-1 | core                             | 13 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@7ae4d7d0 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=a4bac9df-69ab-4188-8286-4eb3800e25ad
2020-05-14T09:00:36,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.diagnostic.core/4.2.8
2020-05-14T09:00:36,491 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.2.8
2020-05-14T09:00:36,492 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jmx.whiteboard/1.2.0
2020-05-14T09:00:36,617 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.shell.commands/4.2.8
2020-05-14T09:00:36,647 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.8
2020-05-14T09:00:36,649 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.sshd.core/1.7.0
2020-05-14T09:00:36,651 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.package.core/4.2.8
